,name,key,url,description,species_2nd,species_3rd,species,home_world,gender,height,eye_color,skin_color,hair_color,weight
10,A'Koba,AKoba,https://starwars.fandom.com/wiki/A%27Koba,"A'Koba, also known as URoRRuR'R'R, was a skilled but young Tusken Raider who lived on Tatooine during the Galactic Civil War. Shortly before the Battle of Yavin, A'Koba attacked Luke Skywalker before getting scared off by Obi-Wan Kenobi.
",,,Tusken Raider,Tatooine,Male,,,,,
11,A'Vor,AVor,https://starwars.fandom.com/wiki/A%27Vor,"A'Vor was a male Tusken Raider who was a member of A'Yark's tribe. He had a twin brother, and was the cousin of A'Koba.
",,,Tusken Raider,Tatooine,Male,,,,,
12,A'Vor's twin,AVors_twin,https://starwars.fandom.com/wiki/A%27Vor%27s_twin,"The twin of A'Vor was a male Tusken Raider who was a member of A'Yark's tribe.
",,,Tusken Raider,Tatooine,Male,,,,,
13,A'Yark,AYark,https://starwars.fandom.com/wiki/A%27Yark,"A'Yark was a Tusken Raider who was the chief of a tribe around the time of 0 BBY. The warrior had only one eye; the missing eye was covered by a red crystal.
",,,Tusken Raider,Tatooine,None,,,,,
14,A'Yark's tribe,AYarks_tribe,https://starwars.fandom.com/wiki/A%27Yark%27s_tribe,"A tribe of Tusken Raiders was led by A'Yark on the planet Tatooine.
",,,Tusken Raider,,None,,,,,
15,Aang,Aang,https://starwars.fandom.com/wiki/Aang,"Aang was a Roonan male senator who served in the Galactic Senate during the Clone Wars, a galaxy-wide conflict between the Galactic Republic and Confederacy of Independent Systems. During the war, he served on the Military Oversight Committee and was persuaded by the Naboo senator Padmé Amidala to vote in favor of reducing the amount of money spent on the Grand Army of the Republic. Despite Aang's support, the Senate ultimately voted to increase military funding in order to supply the army with five million additional clone troopers. Senator Amidala once threw a party for him following the Conference on Alderaan.
",,,Roonan,,Male,,Blue,Gray,,
16,Aarton Chireen,Aarton_Chireen,https://starwars.fandom.com/wiki/Aarton_Chireen,"Aarton Chireen was a human male lieutenant in the Resistance from Jaymir, where he and his sister Nimi Chireen were recruited by pilot Ello Asty. The siblings were held in reserve until after the Battle of Crait, when they joined the core Resistance group.
",,,Human,Jaymir,Male,,Brown,Tan,Black,
17,Aayla Secura,Aayla_Secura,https://starwars.fandom.com/wiki/Aayla_Secura,"Aayla Secura, a Force-sensitive Rutian Twi'lek female, was a Jedi Master who served as a Jedi General of the Grand Army of the Republic during the Clone Wars. Prior to the Clone Wars, Secura learned the ways of the Force as the Padawan of Jedi Master Quinlan Vos. With the outbreak of civil war between the Galactic Republic and the Confederacy of Independent Systems, Secura and her fellow Jedi supported the Republic by becoming officers in its newly-formed military. As a general, she commanded the clone troopers of the 327th Star Corps, with Commander CC-5052 ""Bly"" serving at Secura's side.
",,,Twi'lek,Ryloth,Female,1.72,Hazel,Blue,,55 kilograms
18,Ab'begh,Abbegh,https://starwars.fandom.com/wiki/Ab%27begh,"Ab'begh was a female ozyly-esehembo. By the age of eight, she was stationed aboard the Chiss Defense Force warship Vigilant, where she was watched by a caregiver. Che'ri considered her to be a ""whiner.""
",,,Chiss,,Female,,,,,
19,Able Nereno,Able_Nereno,https://starwars.fandom.com/wiki/Able_Nereno,"Able Nereno was a Rodian male who served in the Alliance to Restore the Republic, with the rank of private. He worked as a nurse aboard the EF76 Nebulon-B escort frigate Redemption during the Battle of Endor. While he was treating a patient, one of the ship's oxygen converters exploded near his post. Nereno's patient lived, but the Rodian nurse did not survive the explosion. Twenty days after the battle, Princess Leia Organa, a leading member of the Alliance, took time to personally notify Nereno's wife.
",,,Rodian,,Male,,,,,
20,Achk Med-Beq,Achk_Med-Beq,https://starwars.fandom.com/wiki/Achk_Med-Beq,"Achk Med-Beq was a male human. He was present in the Outlander Club on Coruscant, conversing with Ayy Vida and a purple Twi'lek, when Jedi Obi-Wan Kenobi and Anakin Skywalker showed up in pursuit of the changeling assassin Zam Wesell. Med-Beq was a known associate of Dannl Faytonni, who also attended the club that night. By the time Kenobi and Skywalker were assisting Wesell at the back of the establishment, Med-Beq and Faytonni were patrolling the second floor of the Outlander conjuring.
",,,Human,,Male,,Brown,Dark,Black,
21,Ackickig,Ackickig,https://starwars.fandom.com/wiki/Ackickig,"Ackickig was a male Jawa.
",,,Jawa,,None,,Yellow,,,
22,Ackmena,Ackmena,https://starwars.fandom.com/wiki/Ackmena,"Ackmena was a human female who worked as the nighttime bartender in Chalmun's Spaceport Cantina in the Tatooine spaceport of Mos Eisley. She operated a ""side hustle"" with two local pickpockets, Kabe and Muftak.
",,,Human,,Female,,,Light,Gray,
23,AD-2508,AD-2508,https://starwars.fandom.com/wiki/AD-2508,"AD-2508 was the designation of a human stormtrooper in the 709th Legion of the First Order. During the First Order's occupation of the planet Batuu in around 34 ABY, AD-2508 was stationed in Black Spire Outpost on the Batuu. The trooper conversed via datapad with fellow stormtrooper CF-8011, who questioned what Supreme Leader Kylo Ren meant when he claimed to sense something. As a response, AD-2508 complained that Ren needed to get a sense of humor. AD-2508 wore standard First Order stormtrooper armor with a white pauldron.
",,,Human,,None,,,,,
24,Adame,Adame,https://starwars.fandom.com/wiki/Adame,"Adame was a male human smuggler who was a member of the Alliance to Restore the Republic. Along with Selentia, Adame approached another smuggler, Han Solo, requesting to borrow his ship, the Millennium Falcon to travel to the Gomar sector as part of a mission on behalf of Leia Organa.
",,,Human,,Male,,,,,
25,Adampo,Adampo,https://starwars.fandom.com/wiki/Adampo,"Adampo was a female Yarkora Jedi Master of the Jedi Order and a member of the Jedi High Council during the High Republic Era. She possessed long white whiskers that dangled from her chin, which she occasionally stroked while speaking. When the Council convened to discuss the Jedi Order's involvement in Galactic Republic action against the Nihil, Adampo was present via hologram. Adampo opposed the idea of military action, insisting that the Jedi were not a military force. Master Oppo Rancisis countered her point, stating that the Jedi had been a military force in the past, winning the Great Sith War. Ultimately, the vote was left with a tie after ten of the eleven Masters present had voted, and the decision was left up to Jora Malli, who chose to involve the Jedi in the Republic Defense Coalition effort.
",,,Yarkora,,Female,,,,,
26,Addar,Addar,https://starwars.fandom.com/wiki/Addar,"Addar was a male human member of the Church of the Force who traveled to the planet Christophsis to return a crate of kyber crystals originally grown there. He did not truly share the beliefs of the church on the Force and quickly became disillusioned with the purpose of the mission, especially when a group of kyaddak began hunting the church members as they passed through the crystal forest. After losing the Elomin Madrammagath to the predators, Addar and his three remaining companions made it out of the forest, but in the following days first the Duros Uggorda and then the MA-B0 cargo lifter droid Mabo also perished, leaving only the human and his Iakaru friend Jumon.
",,,Human,,Male,,,,,
27,Addar's mother,Addars_mother,https://starwars.fandom.com/wiki/Addar%27s_mother,"The mother of the human male Addar helped to found the religious group known as the Church of the Force. Like his mother, Addar became a member of the church, but unlike her, he did not share in its beliefs. Despite this, he joined a group of church members who traveled to the planet Christophsis to return a crate of kyber crystals to the place that they were grown; however, in completing the mission he became trapped alone by a cave in.
",,,Human,,Female,,,,,
28,Adea Rite,Adea_Rite,https://starwars.fandom.com/wiki/Adea_Rite,"Adea Rite was a female human who served as Admiral Rae Sloane's personal assistant after the Battle of Endor. She was present during the abortive Imperial emergency summit on the planet Akiva. Rite was taken captive by New Republic forces during the Rebellion on Akiva. However, Fleet Admiral Gallius Rax arranged her escape and Rite found herself serving Admiral Sloane again. In secret, Rite was an undercover agent of Rax, whose agenda for the Empire clashed with Sloane's personal beliefs. Rite died while attempting to kill Sloane during the attack on Chandrila.
",,,Human,Corellia,Female,,,,,
29,Aderat,Aderat,https://starwars.fandom.com/wiki/Aderat,"Aderat was a human male who served the First Order as a lieutenant. He assisted with Commander Branwayne Spiftz's mission to the planet Minfar, but his failure to make progress led Spiftz to assign his duties to another officer.
",,,Human,,Male,,,Pale,Blond,
30,Adi Gallia,Adi_Gallia,https://starwars.fandom.com/wiki/Adi_Gallia,"Adi Gallia, a Force-sensitive Tholothian female, was a Jedi Master and member of the Jedi High Council during the last years of the Galactic Republic. During the Clone Wars, she served as a Jedi General in the Grand Army of the Republic and fought several battles over the course of the Republic–Separatist conflict.
",,,Tholothian,Coruscant,Female,1.84,Blue,Dark ,,
31,Adlee,Adlee,https://starwars.fandom.com/wiki/Adlee,"Adlee was an Ottegan female who as a child lived in the settlement of Reestkii on the desert planet Jakku. When the settlement was overrun by Zygerrian slavers sometime after the Battle of Endor, she and the other residents were rounded up and locked in the town hall. While imprisoned, the Nu-Cosian pet-seller Bobbajo kept Adlee and the other children calm by telling them a story about how he and his animal companions escaped from the Death Star during the Battle of Yavin. Part way through the story, the Chevin Jol Bengim interrupted to dispute the story. This upset Adlee, who let out a sob, causing Bobbajo to resume his story in order to distract the children. Once the tale was finished, the storyteller left the town hall and revealed all the slavers had been subdued by unknown forces, allowing the residents of Reestkii to claim the Zygerrian's gathered wealth.
",,,Ottegan,,Female,,,,,
32,Adlerber,Adlerber,https://starwars.fandom.com/wiki/Adlerber,"Adlerber was a skittish Arcona dealer who worked with the Kubaz Monigallgh. The two were invited by Zeva Bliss of the Spice Runners of Kijimi to a summit on Kijimi, where Bliss secretly intended to kill the criminals present. Bliss was stopped by former Spice Runner Poe Dameron, and Adlerber and the other criminals were allowed to escape.
",,,Arcona,,None,,,,,
33,Adwin Charu,Adwin_Charu,https://starwars.fandom.com/wiki/Adwin_Charu,"Adwin Charu was a human male employee of the Red Key Raiders. Shortly after the Battle of Endor, Charu was given the task by his employer of purchasing droids, weapons, and mining equipment from the Jawas on the planet Tatooine.
",,,Human,,Male,,,,,
34,Ady Sun'Zee,Ady_SunZee,https://starwars.fandom.com/wiki/Ady_Sun%27Zee,"Ady Sun'Zee was a female Mirialan Jedi Padawan of the Jedi Order. After Sun'Zee sent a distress call to the Jedi Council, it was answered by Jedi Master Yoda. Ady Sun'Zee wielded a standard blue lightsaber.
",,,Mirialan,,Female,,Green,Purple,,
35,Aeliar,Aeliar,https://starwars.fandom.com/wiki/Aeliar,"Aeliar was a human female officer of the Rebel Alliance. In order to acquire weapons for the Rebellion, Aeliar intended to purchase from the Hidden Hand crime syndicate while Darth Vader was distracted by a group of bounty hunters hunting him down. Aeliar's operative, Gita, infiltrated the team of bounty hunters, led by Beilert Valance, but when the mission went awry and Gita was forced to escape, Aeliar abandoned the purchase. The rebels were approached by Valance, who proposed to make a deal with the rebels—he would lead the Empire to the Hidden Hand while the rebels evacuated his homeworld of Chorin, allowing Valance to then betray Vader without the threat of his people being punished. In return, Valance used the credits he had been given by the Hidden Hand to hunt down Vader to purchase weapons for the Rebel Alliance.
",,,Human,,Female,,Blue,Light,Blonde,
36,Aemon Gremm,Aemon_Gremm,https://starwars.fandom.com/wiki/Aemon_Gremm,"Aemon Gremm was a male Hylobon who served as captain of Dryden Vos's security forces. He died on Savareen when Enfys Nest attacked his team and broke his neck.
",,,Hylobon,,Male,1.93,Black,Grey,Orange,
37,Aero,Aero,https://starwars.fandom.com/wiki/Aero,"""Aero"" was the nickname of a Special Commando Advanced Recon trooper in Task Force 99, a squad within the Galactic Empire's Stormtrooper Corps. Aero served as the squad's engineer, capable of repairing and hot-wiring vehicles for transport. Aero participated in Task Force 99's mission to the Ghost Moon in order to kill a group of Rebels hiding there, and traveled to Hubin to apprehend a group of rebels.
",,,Human,,None,,,,,
38,Affie Hollow,Affie_Hollow,https://starwars.fandom.com/wiki/Affie_Hollow,"Affie Hollow was a human female who operated for the Byne Guild as the co-pilot of Leox Gyasi aboard the starship Vessel. Hollow was the adopted daughter of Scover Byne, the leader of the Guild. She and Gyasi transported Jedi Master Cohmac Vitus, Jedi Knights Orla Jareni and Dez Rydan, Padawan Reath Silas, from the planet Coruscant to the Starlight Beacon during the High Republic Era. During the journey, the Vessel was forced to exit hyperspace due to debris from the Great Disaster.
",,,Human,,Female,,,Tan,Brown,
39,Afflas,Afflas,https://starwars.fandom.com/wiki/Afflas,"Afflas was a female Zeltron con artist who operated on the moon of Nar Shaddaa in the time of the Galactic Empire and teamed up with Lentsch and Loonoo to run a scam.
",,,Zeltron,,Female,,,,,
40,Aftab Ackbar,Aftab_Ackbar,https://starwars.fandom.com/wiki/Aftab_Ackbar,"Aftab Ackbar was a Mon Calamari male who was the son of Admiral Gial Ackbar. Ackbar only saw his father once after his spawning where he begged him to retire from Resistance service. Gial refused as the admiral's focus was elsewhere. However, Aftab still felt he knew his father through study of his military service. In the aftermath of the Battle of Crait, whilst the Resistance was in need of help, Aftab supplied them with a number of starships from Mon Cala. But his planet's freedom soon came to end when First Order spies contacted General Hux about the Resistance taking refuge on the planet, sparking a race for Leia and her band to quickly escape the water planet with the starships provided. With a close and daring escape, the Resistance escaped leaving the planet vulnerable to the First Order. Later, Aftab served as colonel in the Resistance, and was referred to as ""Junior"" amicably by Commander Poe Dameron, whom the Mon Calamari aided as a Y-wing pilot during the encounter with the Sith Eternal forces on Exegol. After the battle he celebrated on the jungle moon, Ajan Kloss.
",,,Mon Calamari,Mon Cala,Male,,Gold,Beige,,
41,Aga  (Imperial),Aga_(Imperial),https://starwars.fandom.com/wiki/Aga_(Imperial),"Aga was a female human who served in the Galactic Empire. By 2 BBY, she taught Imperial Academy cadets at the listening post on the planet Konkiv.
",,,Human,,Female,,Blue,Light,White,
42,Agen Kolar,Agen_Kolar,https://starwars.fandom.com/wiki/Agen_Kolar,"Agen Kolar was a member of the Jedi Order in the Galactic Republic. In addition to being a member of the Order, Kolar was a Zabrak Jedi Master, a notable duelist and sat on the Jedi High Council. He and Tiin were killed by Darth Sidious in a lightsaber duel alongside two other Jedi.
",,,Zabrak,Coruscant,Male,1.9,Brown,Dark,Black,
43,Aggadeen,Aggadeen,https://starwars.fandom.com/wiki/Aggadeen,"Aggadeen was a male human who served as an officer in the Galactic Empire. Shortly after the Battle of Yavin, he acted as the Imperial Overseer of Weapons Factory Alpha on Cymoon 1.
",,,Human,,Male,,Blue,Fair,,
44,Agira Nyrat,Agira_Nyrat,https://starwars.fandom.com/wiki/Agira_Nyrat,"Agira Nyrat was a female human member of the Zealots of Psusan who was present in the Outlander Club on Coruscant some time prior to the First Battle of Geonosis. She identified a weak-minded individual in the club and attempted to make him join the fast-growing cult she was a member of. She had brown hair, fair skin, and a tattoo over her navel. She wore a flamboyant red outfit to the club.
",,,Human,,Female,,,Fair,Brown,
45,Agnon,Agnon,https://starwars.fandom.com/wiki/Agnon,"Agnon was a human male officer who held the rank of lieutenant in the armed forces of the First Order. He used a TIE echelon to travel to Black Spire Outpost on the planet Batuu during the First Order's conflict with the Resistance, and was accompanied by a sergeant and several stormtroopers of the 709th Legion.
",,,Human,,Male,,Gray,Light,Black,
46,Agrippa Aldrete,Agrippa_Aldrete,https://starwars.fandom.com/wiki/Agrippa_Aldrete,"Agrippa Aldrete was a male human who at one point served as the senator of the planet Alderaan in the Senate of the Galactic Republic. By the time of the Naboo Crisis in 32 BBY, he served as an aide to Senator Bail Antilles, alongside fellow Alderaanians Liana Merian and Stonroy Soma. Aldrete retained that post after Bail Antilles was replaced by Bail Organa, serving alongside Sheltay Retrac.
",,,Human,Alderaan,Male,,Blue,Light,Gray,
47,Agruss,Agruss,https://starwars.fandom.com/wiki/Agruss,"Agruss was a male Zygerrian slavemaster and keeper of the Kadavo slave processing facility during the time of the Clone Wars. After Jedi Master Obi-Wan Kenobi and Clone captain Rex were captured on Zygerria, Agruss became their slavemaster and oversaw their slavework at the Kadavo facility. When the 104th Battalion arrived to liberate the slaves, he was killed by Rex when he impaled him on an electrostaff.
",,,Zygerrian,Zygerria,Male,1.97,Brown,Gray,Blue,
48,Ahr,Ahr,https://starwars.fandom.com/wiki/Ahr,"Ahr was a human male who served as a governor in the Galactic Empire, as well as the commanding officer of a Venator-class Star Destroyer. During the Imperial Era, Ahr was sent to deal with insurgents on Namzor with Darth Vader. However the rebel alliance had set up their base over a massive coaxium deposit. Ahr, who had been ordered to eliminate the rebels to begin mining the coaxium, ordered a group of TIE fighters attacking the base to return to the Star Destroyer to avoid damaging the coaxium. The TIE fighters withdrew except for one, which was piloted by Lord Vader. Despite the Governor's orders, Vader continued attacking the base until he caused a massive explosion which not only destroyed the rebel base but also the coaxium deposit. Ahr then contacted Emperor Palpatine, attempting to report Vader's failure to follow orders and his destruction of the valuable coaxium deposit.
",,,Human,,Male,,Brown,Light,Gray,
49,Ahr's subordinate,Ahrs_subordinate,https://starwars.fandom.com/wiki/Ahr%27s_subordinate,"A human male officer served as the subordinate of the Galactic Empire's Governor Ahr. After Darth Vader disobeyed Ahr and was ordered by Emperor Palpatine to follow Ahr's commands, the governor attempted to cause the Sith Lord's death. During an attempt to get Vader killed by a creature that resided in the Kankalo Belt Containment Zone, the Sith Lord led the creature back to Ahr's Venator-class Star Destroyer, where it broke through into the bridge, instead killing Ahr and the other crew.
",,,Human,,Male,,Brown,Light,Brown,
50,Ahsoka Tano,Ahsoka_Tano,https://starwars.fandom.com/wiki/Ahsoka_Tano,"Ahsoka Tano was a former Jedi Padawan who, after the Clone Wars, helped establish a network of various rebel cells against the Galactic Empire. A Togruta female, Tano was discovered on her homeworld of Shili by Jedi Master Plo Koon, who brought her to the Jedi Temple on Coruscant to receive Jedi training. Following the outbreak of the Clone Wars, Jedi Grand Master Yoda assigned the young Tano to be the Padawan learner of Jedi Knight Anakin Skywalker, who nicknamed her ""Snips"" when she joined him at the Battle of Christophsis. Whereas Tano was eager to prove herself, Skywalker had a reputation for recklessness, and they had a rather difficult start as master and apprentice. Yet they worked together to rescue Rotta, the son of crime lord Jabba Desilijic Tiure, and returned Rotta to his father, thus facilitating a crucial alliance between the Hutt Clan and the Galactic Republic.
",,,Togruta,Shili,Female,1.88,Blue,Orange ,,
51,Ahsoka's informant,Ahsokas_informant,https://starwars.fandom.com/wiki/Ahsoka%27s_informant,"During the Imperial Era, an Anx informant operated on the planet Garel and reported to the former Jedi Ahsoka Tano.
",,,Anx,,Male,,,Tan,,
52,Aika Lars,Aika_Lars,https://starwars.fandom.com/wiki/Aika_Lars,"Aika Lars was a female human who lived prior to the Clone Wars. She was the first wife of the human Cliegg Lars, a moisture farmer from Tatooine. The two met on a Core World, where they fell in love, married, and parented a son, Owen. While Owen was still young, Aika died, so Cliegg and his son returned to his family's farm on Tatooine.
",,,Human,,Female,,,,,
53,Ainlee Teem,Ainlee_Teem,https://starwars.fandom.com/wiki/Ainlee_Teem,"Ainlee Teem was a Gran senator who represented the planet of Malastare in the Galactic Senate during the last decades of the Galactic Republic. When the Trade Federation invaded the planet Naboo, the then-Supreme Chancellor Finis Valorum was voted out of his office. Along with Bail Antilles of Alderaan and Sheev Palpatine of Naboo, Teem was nominated as Valorum's potential successor. However, Palpatine ultimately won the election.
",,,Gran,Malastare,None,,,,,
54,Aiolin Astarte,Aiolin_Astarte,https://starwars.fandom.com/wiki/Aiolin_Astarte,"Aiolin Astarte was a female human engineered and trained by Doctor Cylo to replace the Sith Lord Darth Vader as Darth Sidious' Sith apprentice.
",,,Human,Celanon,Female,,Blu,Ligh,Blonde,
55,Airen Cracken,Airen_Cracken,https://starwars.fandom.com/wiki/Airen_Cracken,"Airen Cracken was a male human who served as a general and as Chief of Intelligence in the Alliance to Restore the Republic, and later the New Republic, during the Galactic Civil War.
",,,Human,,Male,,Sea-green,Fair,Graying,
56,Ak-rev,Ak-rev,https://starwars.fandom.com/wiki/Ak-rev,"Ak-rev was a male Weequay who played as a drummer in the Max Rebo Band, whose second drummer was Umpass-stay. He was a bodyguard to Jabba the Hutt.
",,,Weequay,,Male,,,Brown,Black,
57,Akar Duel,Akar_Duel,https://starwars.fandom.com/wiki/Akar_Duel,"Akar Duel was a Duros male who lived on Lotho Minor. He created many junk droids from droid parts, forcing them to serve him with the use of restraining bolts. With the help of the droids Teetee and Doc, along with the arrival of C-3PO aboard the Millennium Falcon, the droids fought back against Duel and were freed from him.
",,,Duros,,Male,,Red,Green,,
58,Akar-Deshu,Akar-Deshu,https://starwars.fandom.com/wiki/Akar-Deshu,"Akar-Deshu  was a male Mahran who served as a Jedi Knight during the Clone Wars. A close friend to Jedi Master Quinlan Vos, Akar accompanied him on multiple missions during the war. Akar died shortly after the arrest of Vos and Count Dooku during the second battle of Christophsis, when Vos used the Force to push Akar away, causing him to inadvertently use his stinger and kill fellow Jedi Knight Kav Bayons. The loss of his stinger caused Akar's body to fill with venom, leading to his death. To spare Akar an agonizing death, Vos killed him before escaping with Dooku.
",,,Mahran,,Male,,Golden,,Blue,
59,Akko,Akko,https://starwars.fandom.com/wiki/Akko,"Akko was a human male smuggler who led a small gang. He worked with Han Solo and Chewbacca in a scam on Garel, and later encountered them on Balnab shortly after Solo assisted the Rebel Alliance with the Cyrkon Extraction. Akko convinced Solo to help him smuggle spice to Troiken, but they were discovered by the Galactic Empire, who forced them to hand over the credits they had received.
",,,Human,,Male,,Brown,Dark,Brown,
60,Aks Moe,Aks_Moe,https://starwars.fandom.com/wiki/Aks_Moe,"Aks Moe was a Gran male who served in the Galactic Senate during the waning years of the Galactic Republic. He represented the Congress of Malastare and, on their behalf, supported the formation of a commission to investigate the claims of Queen Padmé Amidala that the droid armies of the Trade Federation had invaded the planet Naboo.
",,,Gran,Malastare,Male,,Black,Orange-yellow,,
61,Akshaya Ponta,Akshaya_Ponta,https://starwars.fandom.com/wiki/Akshaya_Ponta,"Akshaya Ponta was a human female cargo pilot that lived on the planet Skuhl. She was the mother of two children, Tanith and Hadder Ponta. When Jyn Erso was looking for transportation, Akshaya took her to Skuhl for the price of fixing her broken droid.
",,,Human,Skuhl,Female,,,Dark brown with red undertones,Black,
62,Aksind,Aksind,https://starwars.fandom.com/wiki/Aksind,"Aksind was a human male stormtrooper who held the rank of sergeant under Commander Kimmund's command during the reign of the Galactic Empire. As a member of the First Legion, the Darth Vader's personal legion, Aksind and his fellow soldiers accompanied the Sith Lord on his mission to the Outer Rim world of Batuu where they captured a group of Grysk warriors. Sergeant Aksind was killed by the Grysk prisoners while defending the First Legion's personal transport, the Darkhawk, when they attempted to escape from Imperial I-class Star Destroyer Chimaera.
",,,Human,,Male,,,,,
63,Al,Al,https://starwars.fandom.com/wiki/Al,"Al, known as Big Al, was a male human who resided on the Colossus refueling station on Castilon in the later stages of the Cold War between the First Order and the Resistance. He sported a bushy mustache and was a regular at Aunt Z's tavern.
",,,Human,,Male,,Dark,Light,Gray,
64,Alabash  (officer),Alabash_(officer),https://starwars.fandom.com/wiki/Alabash_(officer),"Alabash was a human male police officer in the Canto Bight Police Department under the command of the cruel and corrupt officer Brawg.
",,,Human,,Male,,,,,
65,Albee,Albee,https://starwars.fandom.com/wiki/Albee,"Albee was an Abednedo who operated for the Resistance on Batuu. Albee reported to Vi Moradi, keeping watch on First Order stormtrooper patrols around Black Spire Outpost.
",,,Abednedo,,None,,,,,
66,Albrekh,Albrekh,https://starwars.fandom.com/wiki/Albrekh,"Albrekh was a Symeong male metalsmith and Sith alchemist who served Supreme Leader Kylo Ren and the Knights of Ren during the war between the First Order and the Resistance. He worked on board the Knights' transport, the Night Buzzard, and was responsible for repairing their armor.
",,,Symeong,,Male,,,Fair,Brown,
67,Alcida-Auka,Alcida-Auka,https://starwars.fandom.com/wiki/Alcida-Auka,"Alcida-Auka was a Lanai female who served as the matron of the Caretakers of temple island on the planet Ahch-To. In the year 34 ABY, she encountered the former scavenger Rey in the Jedi village on the island. The Lanai was scaling a fingerlip garpon with a knife when Rey emerged from the stone hut she was residing in while receiving training from Jedi Master Luke Skywalker, another resident of the island.
",,,Lanai,Ahch-To,Female,,Blue,Gray and white,,
68,Alcida-Auka's mother,Alcida-Aukas_mother,https://starwars.fandom.com/wiki/Alcida-Auka%27s_mother,"This female Lanai was the mother of Alcida-Auka, the matron of the Caretakers on the planet Ahch-To. At some point before the Battle of Crait, this Lanai had served as the matron of the Caretakers and eventually she passed on the title and its responsibilities to Auka.
",,,Lanai,Ahch-To,Female,,,,,
