Name,Link,Descr,Gender,Species/Race,Blood,School,Profession
Adrian Pucey,https://www.hp-lexicon.org/character/adrian-pucey/,"Adrian Pucey is a Chaser on the Slytherin Quidditch Team who participated in some of the hardest-fought matches of Harry Potter’s Quidditch career at Hogwarts, including the match where Harry’s arm was shattered by a rogue Bludger (CS10). He was also a part of the infamous… ",Male,wizard,Unknown,Hogwarts - Slytherin,Unknown
Adrian Tutley,https://www.hp-lexicon.org/character/adrian-tutley/,"Adrian Tutley was a wizard who lodged a complaint with the International Confederation of Wizards about the Uagadou School Animagi Team. Their performance of “synchronized transforming” astounded the crowd attending an International Symposium of Animagi (Pm: Uagadou). Many older wizards, including Mr. Tutley, “felt threatened by fourteen-year-olds who could turn at… ",Male,wizard,Unknown,Unknown,Unknown
three African wizards,https://www.hp-lexicon.org/character/three-african-wizards/,Harry saw these three men cooking a rabbit over purple flames in the Quidditch World Cup campground (GF7). ,NaN,unknown,Unknown,Unknown,Unknown
Agatha Chubb,https://www.hp-lexicon.org/character/agatha-chubb/,Agatha Chubb was a witch and expert in ancient wizarding artifacts. While researching Quidditch practices of the 16th century she actually discovered twelve lead Bludgers in the peat bogs and marshes of Great Britain and Ireland (QA6). She used her finds to show how modern wizards changed from… ,Female,witch,Unknown,Unknown,Expert in ancient wizarding artifacts
Agatha Timms,https://www.hp-lexicon.org/character/agatha-timms/,"Agatha Timms was a short witch who owns an eel farm. At the 1994 Quiddtch World Cup, Agatha bets half shares in her eel farm on a week-long match (GF7). ",Female,witch,Unknown,Unknown,Eel farmer
Agilbert Fontaine,https://www.hp-lexicon.org/character/agilbert-fontaine/,Agilbert Fontaine is the current Headmaster of Ilvermorny School of Witchcraft and Wizardry (Pm). ,Male,wizard,Unknown,Unknown,Headmaster of Ilvermorny School of Witchcraft and Wizardry
Agnes,https://www.hp-lexicon.org/character/agnes/,"Agnes was a patient in the Janus Thickey Ward for permanent spell damage at St. Mungo’s Hospital along with the Longbottoms, Broderick Bode (now deceased) and Gilderoy Lockhart. Agnes’ entire head is covered with fur and she barks instead of speaking (OP23). The… ",Female,unknown,Unknown,Unknown,Unknown
Cornelius Agrippa,https://www.hp-lexicon.org/character/cornelius-agrippa/,"Heinrich Cornelius Agrippa von Nettesheim was scholar and author who wrote on many topics, including the occult. He appears on a Chocolate Frog trading card, which reads “celebrated wizard imprisoned by Muggles for his writing, because they thought his books were evil” (FW, PS6, CF). In September 1991, Ron… ",Male,wizard,Unknown,Unknown,Scholar and author
Aidan Kiely,https://www.hp-lexicon.org/character/aidan-kiely/,"Aidan Kiely played Seeker for the Kenmare Kestrels (c. 1993). As reported in the Daily Prophet article “Maddock Blamed for Kestrels’ Win“, Kiely’s capture of the Snitch won a game against the Montrose Magpies following a mis-directed kick (of the Snitch) by the controversial Magpies Chaser Alasdair… ",Male,wizard,Unknown,Unknown,Professional Quidditch player (Seeker)
Aidan Lynch,https://www.hp-lexicon.org/character/aidan-lynch/,"Aidan Lynch played Seeker for Ireland’s National Team at the 1994 Quidditch World Cup. All the members of the Irish team rode Firebolt brooms during the 1994 tournament (PA4, GF8). During the final match, Lynch was fooled by a Wronski Feint performed by Bulgarian Seeker… ",Male,wizard,Unknown,Unknown,Quidditch Player (Seeker)
Alasdair Maddock,https://www.hp-lexicon.org/character/alasdair-maddock/,"Alasdair Maddock is a Quidditch player, a Chaser for the Montrose Magpies (1990s). Maddock is a bit over-interested in Muggle sports, which is documented in a series of articles in the Daily Prophet. Daily Prophet features Magpie Chaser “Only Tried Football for a Laugh” – Maddock is… ",Male,wizard,Unknown,Unknown,Professional Quidditch player (Chaser)
Alastor Gumboil,https://www.hp-lexicon.org/character/alastor-gumboil/,"Alastor Gumboil is an employee at the Ministry of Magic, recruiting for new members for the Department of Magical Law Enforcement. He placed an ad in the Daily Prophet looking for applicants for the position of “Hit-Witch” or “Hit-Wizard”. Mr Gumboil’s office is located in Room 919 at the Ministry (… ",Male,wizard,Unknown,Unknown,Magical Law Enforcement
Mad-Eye Moody,https://www.hp-lexicon.org/character/alastor-mad-eye-moody/,"Alastor “Mad-Eye” Moody is a retired Auror, considered one of the best Dark Wizard catchers the Ministry has ever had. Moody came on staff for a year at Hogwarts, but  spent it at the bottom of a magical trunk, unbeknownst to anyone but the imposter who put him there (… ",Male,wizard,Unknown,Hogwarts - Staff,"Auror (retired), Hogwarts Defense Against the Dark Arts teacher 1994-1995."
Albanian peasant,https://www.hp-lexicon.org/character/albanian-peasant/,"When he found Ravenclaw’s diadem in Albania, Voldemort killed a peasant and used his or her death to turn the priceless object into a Horcrux (BLC). ",NaN,muggle,Muggle,Unknown,Unknown
Alberic Grunnion,https://www.hp-lexicon.org/character/alberic-grunnion/,Alberic Grunnion was the inventor of the Dungbomb (FW). His Chocolate Frog card was one of the ones Harry received on his first journey to Hogwarts (PS6). ,Male,wizard,Unknown,Unknown,Inventor
Alberta Toothill,https://www.hp-lexicon.org/character/alberta-toothill-2/,"Famous wizarding duellist. Toothill won the All-England competition in 1430 with a Blasting Curse. She defeated Samson Wiblin, who was the favorite to win. Toothill now appears on a Famous Wizard card (and Wiblin doesn’t!) (FW)… ",Female,witch,Unknown,Unknown,Duellist
Albert Boot,https://www.hp-lexicon.org/character/albert-boot/,"Albert Boot was the fifth Minister for Magic, in office 1747-1752. He couldn’t handle a goblin rebellion and resigned (Pm). ",Male,wizard,Unknown,Unknown,Politician
Albert Jorkins,https://www.hp-lexicon.org/character/jorkins-family/albert-jorkins/,Albert Jorkins was a wizard whose daughter Griselda Harmonia Jorkins’s birth was announced in the Daily Prophet (DP2). ,Male,unknown,Unknown,Unknown,Unknown
Albert Runcorn,https://www.hp-lexicon.org/character/albert-runcorn/,"Albert Runcorn was a tall, bearded wizard who works for the Ministry of Magic. He unwittingly played a part in Harry, Ron, and Hermione’s infiltration of the Ministry when Hermione gave him a Nosebleed Nougat, convinced him to go home, and took some of his hairs to add to… ",Male,wizard,Pure blood,Unknown,Ministry of Magic worker
Albert Tillyman,https://www.hp-lexicon.org/character/albert-tillyman/,"Albert Tillyman was a wizard and a bully whose wife, Violet, went missing after they argued. He believed she had disappeared in the Floo Network, which caused a national scare. Unbeknownst to him, she had traveled to the wrong house and left him for the man she met there, Myron… ",Male,unknown,Unknown,Unknown,Unknown
Albus Dumbledore,https://www.hp-lexicon.org/character/dumbledore-family/albus-dumbledore/,"Albus Dumbledore was the Headmaster of Hogwarts for over thirty years, a time period that encompassed both of Voldemort’s attempts to take over the Wizarding world. Considered to be the most powerful wizard of his time, Dumbledore was awarded the Order of Merlin, First Class, and was the Supreme Mugwump… ",Male,wizard,Half-blood,Hogwarts - Staff\Hogwarts - Gryffindor,Headmaster at Hogwarts School
Albus Potter,https://www.hp-lexicon.org/character/potter-family/albus-severus-potter/,"Albus Potter is the middle child and second son of Harry Potter and Ginny Weasley Potter.  He is named after two headteachers of Hogwarts: Albus Dumbledore and Severus Snape. Albus is Neville Longbottom‘s godson (Pm) and, when he was six years old, his best friend… ",Male,wizard,Half-blood,Hogwarts - Slytherin,Unknown
Alderton,https://www.hp-lexicon.org/character/alderton/,"Alderton was an alleged Muggle-born wizard who was accused of “stealing magic” and sent to Azkaban by the Muggle-born Registration Commission in the days when the Ministry was controlled by Death Eaters (DH13). He claimed to be the son of Arkie Alderton, a wizard (DH13). ",Male,wizard,Muggle-born,Unknown,Unknown
Arkie Alderton,https://www.hp-lexicon.org/character/arkie-alderton/,"Arkie Alderton is reported to be a well-known broomstick designer (DH13). In 1997, a man in front of the Muggle-born Registration Committee claims that “My father was a wizard, he was, look him up, Arkie Alderton….” (DH13) The use of past tense seems to indicate that Arkie… ",Male,wizard,Unknown,Unknown,Broomstick designer
Alecto Carrow,https://www.hp-lexicon.org/character/carrow-family/alecto-carrow/,"Alecto and Amycus Carrow (JKR) were Death Eaters, a brother and sister, part of the group of Death Eaters that invaded Hogwarts in June of 1997 (HBP27); Snape implies that they were never sent to Azkaban (HBP2). When Voldemort took over Hogwarts, Alecto Carrow became the Muggle Studies teacher… ",Female,witch,Pure blood,Hogwarts - Staff,Unknown
Alfred Cattermole,https://www.hp-lexicon.org/character/cattermole-family/alfred-cattermole/,Alfred Cattermole was the son of Reginald and Mary Cattermole (DH13). ,Male,wizard,Half-blood,Unknown,Unknown
Alguff the Awful,https://www.hp-lexicon.org/character/alguff-the-awful/,Alguff the Awful was afoul-smelling goblin nuisance. Well known throughout the goblin world for trying to sell vials of his sweat to a Dungbomb manufacturer (FW). ,Male,goblin,Unknown,Unknown,Unknown
Ali Bashir,https://www.hp-lexicon.org/character/ali-bashir/,"Ali Bashir was a flying carpet merchant who was very interested in importing flying carpets into Britain. Arthur Weasley wouldn’t allow it, so Ali tried to smuggle carpets in (GF7, GF23). ",Male,wizard,Unknown,Unknown,Merchant
Alice Longbottom,https://www.hp-lexicon.org/character/longbottom-family/alice-longbottom/,"Alice Longbottom, along with her husband Frank, were Aurors, popular in the Wizarding World, who fought valiantly against Voldemort and his supporters during the 1970s. Frank and Alice were captured by Death Eaters shortly after the fall of Voldemort (late 1981). They were subjected to the Cruciatus Curse in an attempt… ",Female,witch,Unknown,Unknown,Auror
Alicia Spinnet,https://www.hp-lexicon.org/character/alicia-spinnet/,"Alicia Spinnet was a Gryffindor girl two years (CS7) ahead of Harry Potter, in the same year as Angelina Johnson, Fred and George Weasley and Lee Jordan. She played Chaser on the Gryffindor Quidditch team with Harry (PS11). She was made a full member… ",Female,witch,Unknown,Hogwarts - Gryffindor,Unknown
Aliko Okoye,https://www.hp-lexicon.org/character/aliko-okoye/,"Aliko Okoye was a Beater for the Nigerian National Quidditch Team at the 2014 Quidditch World Cup. Appearances A member of the Nigerian team at the 2014 Quidditch World Cup tournament, Okoye and his Beater teammate Mercy Ojukwu, were described as “ferocious” during their match against Fiji, which… ",Male,wizard,Unknown,Unknown,Quidditch player (Beater)
Raul Almeida,https://www.hp-lexicon.org/character/raul-almeida/,"Raul Almeida played Keeper for the Brazil National Team at the 2014 Quidditch World Cup. Appearances As their Keeper at the 2014 tournament, Almeida was key to Brazil’s victory over the USA in the semi-final, repeatedly stopping the American Chasers from scoring, thus allowing the match to be decided by… ",Male,wizard,Unknown,Unknown,Quidditch player (Keeper)
Almerick Sawbridge,https://www.hp-lexicon.org/character/almerick-sawbridge/,Almerick Sawbridge was a wizard famous for conquering the river troll that was terrorizing crossers of the Wye River (fw41). ,Male,wizard,Unknown,Unknown,Unknown
Alejandra Alonso,https://www.hp-lexicon.org/character/alejandra-alonso/,"Alejandra Alonso was a Chaser for the Brazilian National Team at the 2014 Quidditch World Cup. Appearances Alonso and fellow Chasers Fernando Diaz and Gonçalo Flores were key to the success of Brazilian team (QWC). During their first game, only the brilliance of the Haitian National Team’s… ",Female,witch,Unknown,Unknown,Quidditch player (Chaser)
Alphard Black,https://www.hp-lexicon.org/character/black-family/alphard-black/,"Alphard Black was an uncle to Sirius and Regulus Black. Alphard was their mother’s brother; however he has been removed from the tapestry because he ‘gave gold to his runaway nephew,’ represented by a burn hole in the Black Family Tree (BFT).Thanks to his inheritance from Alphard, Sirius was able… ",Male,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Altheda,https://www.hp-lexicon.org/character/altheda/,"The second of three witches in the story “The Fountain of Fair Fortune” from The Tales of Beedle the Bard. Altheda was a witch who had lost confidence in herself after being robbed and humiliated, and went to find the fabled fountain for a cure for her feelings of helplessness. ",Female,unknown,Unknown,Unknown,Unknown
Amarillo Lestoat,https://www.hp-lexicon.org/character/amarillo-lestoat/,Amarillo Lestoat was a flamboyant american vampire. Author of A Vampire’s Monologue – intended to bore the reader into a stupor making him/her easier prey for vampires. ,Male,vampire,Unknown,Unknown,Author
Amata,https://www.hp-lexicon.org/character/amata/,"The third of three witches in the story “The Fountain of Fair Fortune” from The Tales of Beedle the Bard. In the Amazon.com paraphrase, Amata was a witch seeking a cure from the fountain for the grief and longing caused when she was deserted by her beloved. As she… ",Female,unknown,Unknown,Unknown,Unknown
Ambrosius Flume,https://www.hp-lexicon.org/character/ambrosius-flume/,Ambrosius Flume and his wife owned Honeydukes in Hogsmeade (PA10). He was one of Slughorn’s favorites while at Hogwarts (HBP4). ,Male,wizard,Unknown,Unknown,"Sweetshop owner, sweetmaker"
Amelia Susan Bones,https://www.hp-lexicon.org/character/bones-family/amelia-susan-bones/,"Amelia Susan Bones was the sister of Edgar Bones and the aunt of Susan Bones. Before her murder by Death Eaters, Amelia was the Head of the Department of Magical Law Enforcement (OP6) and presided over the Wizengamot (OP8), including Harry’s disciplinary hearing on August 12, 1995. She… ",Female,witch,Unknown,Unknown,"Head, Department of Magical Law Enforcement"
Amos Diggory,https://www.hp-lexicon.org/character/diggory-family/amos-diggory/,"Amos Diggory was a Ministry of Magic official who worked for the Department for the Regulation and Control of Magical Creatures. Amos is a ruddy-faced wizard with a scrubby brown beard. He takes a great deal of pride in his son, Cedric, even to the point of being somewhat rude… ",Male,wizard,Unknown,Unknown,Ministry Employee in the Department for the Regulation and Control of Magical Creatures
Amy Benson,https://www.hp-lexicon.org/character/amy-benson/,Amy Benson was a child from the orphanage whom Tom Riddle once terrorized in a seaside cave (HBP13). ,Female,muggle,Muggle,Unknown,Unknown
Amycus Carrow,https://www.hp-lexicon.org/character/carrow-family/amycus-carrow/,"Amycus Carrow was a squat, “lumpy” looking wizard with a lopsided leer and a wheezy giggle. Part of the group of Death Eaters who participated in the Battle of the Tower, where Amycus egged on Draco to kill Dumbledore, and had fun trying to curse Ginny Weasley (HBP27). Snape… ",Male,wizard,Pure blood,Hogwarts - Staff,Dark Arts Professor
P.C. Anderson,https://www.hp-lexicon.org/character/p-c-anderson/,"Police Constable Anderson was a Muggle police officer who detained two suspicious young men on a rather peculiar motorcycle. Anderson and his partner, Sergeant Fisher, were astonished to see what appeared to be two men flying on brooms, their squad car rise up into the air of its own accord,… ",Male,muggle,Unknown,Unknown,Police Constable
Andorran Minister for Magic,https://www.hp-lexicon.org/character/andorran-minister-for-magic/,The Andorran Minister for Magic was mentioned by “mad” Mr. Crouch in the Forbidden Forest just before his death. ,NaN,wizard,Unknown,Unknown,Minister of Magic
Andrew Kirke,https://www.hp-lexicon.org/character/andrew-kirke/,"Andrew Kirke was a Gryffindor in the mid 1990s and Gryffindor’s Quidditch Team Beater from 1995-6. Kirke was at least a second year during the 1995-1996 school year, and became a Beater on the Quidditch team after Fred and George were banned (OP21). Unfortunately he… ",Male,wizard,Unknown,Hogwarts - Gryffindor,Unknown
Andromeda Tonks,https://www.hp-lexicon.org/character/black-family/andromeda-dromeda-black-tonks/,"Andromeda Tonks was the mother of Nymphadora Tonks and the sister of Bellatrix Lestrange and Narcissa Malfoy. She was disowned by the Black family for marrying Ted Tonks, a Muggle-born wizard. ",Female,witch,Pure blood,Hogwarts - Slytherin,Unknown
Andros the Invincible,https://www.hp-lexicon.org/character/andros-the-invincible/,"Andros the Invincible was an ancient Greek wizard, alleged to have been the only known wizard to produce a Patronus the size of a giant (FW). ",Male,wizard,Unknown,Unknown,Unknown
Angelina Johnson,https://www.hp-lexicon.org/character/angelina-johnson/,"Angelina Johnson is a tall, black (GF16) Gryffindor girl two years older than Harry. She is an excellent Quidditch player (a Chaser) (PS11) and was captain of the Gryffindor Quidditch Team during the 1995-1996 school year (OP12). Angelina put her name in for… ",Female,witch,Unknown,Hogwarts - Gryffindor,Unknown
Angelus Peel,https://www.hp-lexicon.org/character/angelus-peel/,"Angelus Peel played Seeker for the Canadian National Team in 1877. Peel was one of the more unfortunate of the Quidditch players who was a participant in the 1877 Quidditch World Cup in Kazakhstan. Known as “The Tournament that Nobody Remembers“, Peel woke up with his knees on back-to-front and… ",Male,wizard,Unknown,Unknown,Quidditch player (Seeker)
Angus Buchanan,https://www.hp-lexicon.org/character/angus-buchanan/,"Angus Buchanan was a Squib who rose to fame playing rugby for the Scottish national side. Angus Buchanan was the only non-magical member of the Buchanan family of the Scottish Borders. Fearing the wrath of their father, the Buchanan siblings helped to conceal Angus’ lack of magic, even… ",Male,squib,Unknown,Unknown,Rugby player
Angus Campbell,https://www.hp-lexicon.org/character/angus-campbell/,"Angus Campbell is a Chaser for the Montrose Magpies Quidditch team in the 1990s. Hired as the replacement Chaser (after the manager of the Magpies fired Alasdair Maddock), Campbell scored seven goals against the Caerphilly Catapults in his first game for the team. Who needs that Mugglemanic Maddock… ",Male,wizard,Unknown,Unknown,Professional Quidditch player (Chaser)
Angus Fleet,https://www.hp-lexicon.org/character/angus-fleet/,Angus Fleet was a Muggle living in Peebles in Great Britain. Angus was mystified by a flying Ford Anglia he spotted on 1 September 1992 (CS5). ,Male,muggle,Muggle,Unknown,Unknown
Angus McMangus,https://www.hp-lexicon.org/character/angus-mcmangus/,"Angus McMangus was a Hogwarts classmate of Miranda Goshawk, author of the Book of Spells. ",Male,wizard,Unknown,Unknown,Unknown
Annis Black,https://www.hp-lexicon.org/character/annis-black/,Annis Black was a hag whose letter is published in the Daily Prophet (DP1). ,Female,hag,Unknown,Unknown,Unknown
Anonymous,https://www.hp-lexicon.org/character/anonymous/,"Two authors are listed simply as “anonymous”: the author of Hairy Snout, Human Heart (FB) and the author of the infamous Pure-Blood Directory in the early 1930s. Many believe the latter to be Cantankerus Nott (Pm). ",NaN,wizard (presumably),Unknown,Unknown,Author
Anthony Goldstein,https://www.hp-lexicon.org/character/goldstein-family/anthony-goldstein/,Anthony Goldstein was a Ravenclaw student in Harry’s year who became a prefect (OP10) and a member of the D.A. (OP16). He fought in the Battle of Hogwarts (DH29 ff.). ,Male,wizard,Half-blood,Hogwarts - Ravenclaw,Unknown
Antioch Peverell,https://www.hp-lexicon.org/character/peverell-family/antioch-peverell/,"Antioch Peverell was the oldest of the three brothers in The Tale of the Three Brothers, and owner of the Elder Wand. ",Male,wizard,Pure blood,Unknown,Unknown
Antonin Dolohov,https://www.hp-lexicon.org/character/antonin-dolohov/,"Antonin Dolohov was a particularly sadistic Death Eater, one of Tom Riddle’s friends after leaving school (HBP20). He was sent to Azkaban for the murders of Gideon and Fabian Prewett (OP25). Dolohov escaped from Azkaban early in 1996, along with Bellatrix Lestrange and several other high-security prisoners, and rejoined… ",Male,wizard,Unknown,Unknown,Unknown
Antonio,https://www.hp-lexicon.org/character/antonio/,"A baby chupacabra named Antonio was chained under the chair of prisoner Gellert Grindelwald in MACUSA Headquarters. While placed there as a threat to the dark wizard, Antonio helped him escape when Ministry Aurors were moving him out of MACUSA custody in New York City (CG). The creature sank his… ",Male,chupacabra,Unknown,Unknown,Unknown
Apolline Delacour,https://www.hp-lexicon.org/character/delacour-family/apolline-delacour/,Apolline Delacour was the wife of Monsieur Delacour and the mother of Fleur and Gabrielle Delacour. She was half veela. ,Female,unknown,Unknown,Unknown,Unknown
Apollyon Pringle,https://www.hp-lexicon.org/character/apollyon-pringle/,"Apollyon Pringle was the caretaker at Hogwarts when Arthur and Molly Weasley attended (1960s), preceding Argus Filch. He punished Arthur (for being caught out at night with Molly) in a way that left permanent scars (GF31). ",Male,unknown,Unknown,Hogwarts - Staff,Caretaker
Mrs. Figg,https://www.hp-lexicon.org/character/arabella-figg/,"Arabella Doreen Figg is a Squib, living in a house on Wisteria Walk in Little Whinging, Surrey. Mrs. Figg is an original member of The Order of the Phoenix and for fifteen years was assigned the task of watching over Harry Potter, who was growing up two… ",Female,squib,Unknown,Unknown,"Babysitter, raises Kneazles"
Aragog,https://www.hp-lexicon.org/character/aragog/,"Aragog was a male Acromantula, acquired as an egg c. 1942 by Hagrid from a traveller. Hagrid hid Aragog in a cupboard in the castle and reared him on table scraps until Aragog’s existence was exposed by Tom Riddle. At that point Hagrid was expelled, but he managed to release… ",Male,acromantula,Unknown,Unknown,Unknown
Araminta Meliflua,https://www.hp-lexicon.org/character/black-family/araminta-meliflua/,Araminta Meliflua was a cousin of Sirius Black’s mother. Meliflua tried to force through a Ministry bill to make Muggle-hunting legal (OP6). ,Female,wizard,Pure blood,Unknown,Unknown
Archer Evermonde,https://www.hp-lexicon.org/character/archer-evermonde/,"Archer Evermonde was Minister for Magic during World War I, serving  1912 – 1923. ",Male,wizard,Unknown,Unknown,Minister for Magic
Archibald Alderton,https://www.hp-lexicon.org/character/archibald-alderton/,Archibald Alderton was famous for blowing up the hamlet of Little Dropping in Hampshire while attempting to magically mix a birthday cake (FW). ,Male,wizard,Unknown,Unknown,Unknown
Archie,https://www.hp-lexicon.org/character/archie/,"Archie was an old wizard with a penchant for flowered nightgowns; Archie refused to wear trousers at the World Cup campground, saying that he liked “a healthy breeze around his privates” (GF7). Possibly the Archie Aymslowe who is the president of F.A.R.T. ",Male,wizard,Unknown,Unknown,Unknown
Archie Aymslowe,https://www.hp-lexicon.org/character/archie-aymslowe/,"Archie Aymslowe was president of the fringe movement entitled Fresh Air Refreshes Totally, or F.A.R.T. (Pm: Wizard Clothing). This character might very well be the Archie we encounter by the water pump in the campground at the World Cup, the wizard who “likes a good healthy breeze” around his privates… ",Male,unknown,Unknown,Unknown,Unknown
Arcturus Black (1884),https://www.hp-lexicon.org/character/black-family/arcturus-black-1884/,Arcturus Black (1884) was the son of Phineas Nigellus Black and Ursula Flint (BFT). ,Male,wizard,Pure blood,Hogwarts - Slytherin,Unknown
Arcturus Black (1901),https://www.hp-lexicon.org/character/black-family/arcturus-black-1901/,"Arcturus Black (1901) was the father of Orion Black, grandfather of Sirius and Regulus Black. (BFT)… ",Male,unknown,Pure blood,Hogwarts - Slytherin,Unknown
Arcus,https://www.hp-lexicon.org/character/arcus/,Arcus was one of two wizards thought to have taken the Elder Wand from Loxias. It is unknown whether he or Livius defeated him (DH21). ,Male,wizard,Unknown,Unknown,Unknown
Argus Filch,https://www.hp-lexicon.org/character/argus-filch/,"Argus Filch was the Hogwarts caretaker, a cantankerous, nasty man who detests the students. He knew the secret passageways and hidden doors of Hogwarts better than anyone except Fred and George Weasley (and now Harry, thanks to the Marauders’ Map). Filch was a Squib, which means that he was… ",Male,squib,Unknown,Hogwarts - Staff,Caretaker
Argus Pyrites,https://www.hp-lexicon.org/character/argus-pyrites/,"Argus Pyrites was a servant of Voldemort, quite a dandy wearing white silk gloves. ",Male,wizard,Unknown,Unknown,Unknown
Ariana Dumbledore,https://www.hp-lexicon.org/character/dumbledore-family/ariana-dumbledore/,"Ariana Dumbledore was the younger sister of Albus and Aberforth – Albus’s junior by four years, Aberforth’s by one.  At six years old, she was attacked by three muggle boys and was severely traumatized by the event.  Her father, Percival, was imprisoned for seeking revenge on the boys.  As a… ",Female,witch,Half-blood,Unknown,Unknown
Aristotle Twelvetrees,https://www.hp-lexicon.org/character/aristotle-twelvetrees/,Aristotle Twelvetrees was Keeper of Treasure and Dragots in MACUSA in the late 18th century (Pm). ,Male,wizard,Unknown,Unknown,Keeper of Treasure and Dragots
Arkie Philpott,https://www.hp-lexicon.org/character/arkie-philpott/,Arkie ran afoul of a Probity Probe at after the goblins tightened security at Gringotts (HBP6). ,Male,wizard,Unknown,Unknown,Unknown
Armand Malfoy,https://www.hp-lexicon.org/character/malfoy-family/armand-malfoy/,"The first of the Malfoy family in Britain, Armand arrived in 1066 as part of William the Conqueror’s army. Armand was given a piece of land in Wiltshire as reward for his services to King William I (Pm). ",Male,wizard,Unknown,Unknown,Unknown
Armando Dippet,https://www.hp-lexicon.org/character/armando-dippet/,"Armando Dippet is a former headmaster of Hogwarts (c. 1942 through mid-1960s), Dumbledore’s predecessor, who was totally taken in by Tom Riddle. Dippet’s portrait hangs in Dumbledore’s office (OP37). In life, he was nearly bald and somewhat feeble (CS13). Tom Riddle, when he had finished school, asked Dippet… ",Male,unknown,Unknown,Hogwarts - Staff,"Teacher, Headmaster"
Armenian warlock,https://www.hp-lexicon.org/character/armenian-warlock/,"Described as “ugly” and “old” by Gilderoy Lockhart, this warlock was the one who faced the Wagga Wagga Werewolf – only to have his memory wiped by Lockhart, who took credit for the warlock’s heroism by writing about it in Wandering with Werewolves (CS16). ",Male,wizard,Unknown,Unknown,Unknown
Arnold,https://www.hp-lexicon.org/character/arnold/,"Arnold is a Pygmy Puff that Molly Weasley bought for Ginny at Weasleys’ Wizard Wheezes in the fall of her fifth year (HBP6).  Arnold tends to ride around on Ginny’s shoulder in the Gryffindor common room, which is probably a good thing as Crookshanks seems to have taken an… ",Male,pygmy puff,Unknown,Unknown,Unknown
